search_term,date_searched,url,title,urn,urn_type,country,state,municipality,justice,region,court_class,document_type_full,promulgation_date,document_description
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981838,"Impossibilidade, no ordenamento jurídico brasileiro, de se importar embarcação estrangeira de Apoio Marítimo com base em contrato de Ship Management Agreement em substituição ao contrato de afretamento",urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981838,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000981838,2013,"Artigo.Revista Rede.Virtual.Bibliotecas 1000981838, promulgada em 2013, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023169,Gargalos da indústria de apoio marítimo no Brasil,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023169,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1001023169,2014,"Artigo.Revista Rede.Virtual.Bibliotecas 1001023169, promulgada em 2014, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:decreto:2007-07-17;7707,"Decreto do Executivo n° 7707, de 17 de Julho de 2007",urn:lex:br;minas.gerais;divinopolis:municipal:decreto:2007-07-17;7707,legislation,Brasil,Minas Gerais,Divinopolis,,,,Decreto Municipal 7707,17-07-2007,"Decreto Municipal 7707, promulgada em 17-07-2007, Município de Divinopolis, Estado de Minas Gerais, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1997;1000550655,Tratamento tributario das atividades de apoio maritimo atraves de contratos de afretamento de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1997;1000550655,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000550655,1997,"Artigo.Revista Rede.Virtual.Bibliotecas 1000550655, promulgada em 1997, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2021-05-19;1050,MPV 1050/2021,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2021-05-19;1050,legislation,Brasil,,,,,,Medida Provisória (MPV) Federal 1050,19-05-2021,"Medida Provisória (MPV) Federal 1050, promulgada em 19-05-2021, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;arinos:municipal:lei:1971-04-29;100,"Lei n° 100, de 29 de Abril de 1971",urn:lex:br;minas.gerais;arinos:municipal:lei:1971-04-29;100,legislation,Brasil,Minas Gerais,Arinos,,,,Lei Municipal 100,29-04-1971,"Lei Municipal 100, promulgada em 29-04-1971, Município de Arinos, Estado de Minas Gerais, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:1996-03-27;1951,"Lei n° 1951, de 27 de Março de 1996",urn:lex:br;minas.gerais;itabirito:municipal:lei:1996-03-27;1951,legislation,Brasil,Minas Gerais,Itabirito,,,,Lei Municipal 1951,27-03-1996,"Lei Municipal 1951, promulgada em 27-03-1996, Município de Itabirito, Estado de Minas Gerais, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:2012-05-30;58093,"Decreto nº 58.093, de 30/05/2012",urn:lex:br;sao.paulo:estadual:decreto:2012-05-30;58093,legislation,Brasil,São Paulo,,,,,Decreto Estadual 58093,30-05-2012,"Decreto Estadual 58093, promulgada em 30-05-2012, Estado de São Paulo, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1957-08-02;416,"Lei Ordinária n° 416, de 02 de Agosto de 1957",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1957-08-02;416,legislation,Brasil,Minas Gerais,Divinopolis,,,,Lei Municipal 416,02-08-1957,"Lei Municipal 416, promulgada em 02-08-1957, Município de Divinopolis, Estado de Minas Gerais, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:decreto:1981-12-03;6812,"Decreto nº 6812, de 03 de Dezembro de 1981",urn:lex:br;sao.paulo;campinas:municipal:decreto:1981-12-03;6812,legislation,Brasil,São Paulo,Campinas,,,,Decreto Municipal 6812,03-12-1981,"Decreto Municipal 6812, promulgada em 03-12-1981, Município de Campinas, Estado de São Paulo, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1972-01-28;961,"Lei Ordinária n° 961, de 28 de Janeiro de 1972",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1972-01-28;961,legislation,Brasil,Minas Gerais,Divinopolis,,,,Lei Municipal 961,28-01-1972,"Lei Municipal 961, promulgada em 28-01-1972, Município de Divinopolis, Estado de Minas Gerais, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1967-06-16;252,"Lei Municipal n° 252, de 16 de Junho de 1967",urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1967-06-16;252,legislation,Brasil,Espírito Santo,Domingos Martins,,,,Lei Municipal 252,16-06-1967,"Lei Municipal 252, promulgada em 16-06-1967, Município de Domingos Martins, Estado de Espírito Santo, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto.lei:1942-04-17;4272,"Decreto-Lei nº 4.272, de 17 de Abril de 1942",urn:lex:br:federal:decreto.lei:1942-04-17;4272,legislation,Brasil,,,,,,Decreto.Lei Federal 4272,17-04-1942,"Decreto.Lei Federal 4272, promulgada em 17-04-1942, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1973-12-04;73249,"Decreto nº 73.249, de 4 de Dezembro de 1973",urn:lex:br:federal:decreto:1973-12-04;73249,legislation,Brasil,,,,,,Decreto Federal 73249,04-12-1973,"Decreto Federal 73249, promulgada em 04-12-1973, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1975-03-25;687,"Lei Municipal n° 687, de 25 de Março de 1975",urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1975-03-25;687,legislation,Brasil,Espírito Santo,Domingos Martins,,,,Lei Municipal 687,25-03-1975,"Lei Municipal 687, promulgada em 25-03-1975, Município de Domingos Martins, Estado de Espírito Santo, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto.lei:1986-12-10;2305,"Decreto-Lei nº 2.305, de 10 de Dezembro de 1986",urn:lex:br:federal:decreto.lei:1986-12-10;2305,legislation,Brasil,,,,,,Decreto.Lei Federal 2305,10-12-1986,"Decreto.Lei Federal 2305, promulgada em 10-12-1986, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;hortolandia:municipal:lei:2002-10-21;1150,"Lei n° 1150, de 21 de outubro de 2002",urn:lex:br;sao.paulo;hortolandia:municipal:lei:2002-10-21;1150,legislation,Brasil,São Paulo,Hortolandia,,,,Lei Municipal 1150,21-10-2002,"Lei Municipal 1150, promulgada em 21-10-2002, Município de Hortolandia, Estado de São Paulo, Brasil"
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto.lei:1941-09-09;12162,"Decreto-Lei nº 12.162, de 09/09/1941",urn:lex:br;sao.paulo:estadual:decreto.lei:1941-09-09;12162,legislation,Brasil,São Paulo,,,,,Decreto.Lei Estadual 12162,09-09-1941,"Decreto.Lei Estadual 12162, promulgada em 09-09-1941, Estado de São Paulo, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2017-10-20;38571,"Decreto nº 38571, de 20 de outubro de 2017",urn:lex:br;distrito.federal:distrital:decreto:2017-10-20;38571,legislation,Brasil,Distrito Federal,,,,,Decreto Distrital 38571,20-10-2017,"Decreto Distrital 38571, promulgada em 20-10-2017, Estado de Distrito Federal, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2010-12-08;32563,"Decreto nº 32563, de 08 de dezembro de 2010",urn:lex:br;distrito.federal:distrital:decreto:2010-12-08;32563,legislation,Brasil,Distrito Federal,,,,,Decreto Distrital 32563,08-12-2010,"Decreto Distrital 32563, promulgada em 08-12-2010, Estado de Distrito Federal, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-07-03;3080,"Lei n° 3080, de 03 de Julho de 2015",urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-07-03;3080,legislation,Brasil,Minas Gerais,Itabirito,,,,Lei Municipal 3080,03-07-2015,"Lei Municipal 3080, promulgada em 03-07-2015, Município de Itabirito, Estado de Minas Gerais, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2003-07-24;2674,"Lei n° 2674, de 24 de Julho de 2003",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2003-07-24;2674,legislation,Brasil,Minas Gerais,Ponte Nova,,,,Lei Municipal 2674,24-07-2003,"Lei Municipal 2674, promulgada em 24-07-2003, Município de Ponte Nova, Estado de Minas Gerais, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2012-04-09;3671,"Lei n° 3671, de 09 de Abril de 2012",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2012-04-09;3671,legislation,Brasil,Minas Gerais,Ponte Nova,,,,Lei Municipal 3671,09-04-2012,"Lei Municipal 3671, promulgada em 09-04-2012, Município de Ponte Nova, Estado de Minas Gerais, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:1991-11-09;1683,"Lei n° 1683, de 09 de Novembro de 1991",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:1991-11-09;1683,legislation,Brasil,Minas Gerais,Ponte Nova,,,,Lei Municipal 1683,09-11-1991,"Lei Municipal 1683, promulgada em 09-11-1991, Município de Ponte Nova, Estado de Minas Gerais, Brasil"
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2006-03-28;26683,"Decreto nº 26683, de 28 de março de 2006",urn:lex:br;distrito.federal:distrital:decreto:2006-03-28;26683,legislation,Brasil,Distrito Federal,,,,,Decreto Distrital 26683,28-03-2006,"Decreto Distrital 26683, promulgada em 28-03-2006, Estado de Distrito Federal, Brasil"
