"id","titulo","sentiment_score","sentiment_category","strictness_index","regulatory_style"
101891,"Acórdão do processo Nº RR - 12274-78.2015.5.15.0017",0,"Neutral",1,"Balanced"
38564,"A tributação ambiental como instrumento para odesenvolvimentosustentável",1,"Positive",0,"Balanced"
26528,"Acórdão do processo Nº RR - 48600-97.2002.5.04.0211",0,"Neutral",0,"Balanced"
119783,"Acórdão nº 313226 do Processo nº20060310171980apc",0,"Neutral",0,"Balanced"
42392,"Acórdão do processo Nº RR - 247800-96.2000.5.02.0054",1,"Positive",4,"Prescriptive"
129772,"Acórdão nº 591757 do Processo nº20070710050284apr",0,"Neutral",1,"Balanced"
113512,"ACÓRDÃO TCU 5800/2011",-1,"Negative",0,"Balanced"
36067,"DecretoExecutivo nº 279,  de 17 de Março de 2000",0,"Neutral",0,"Balanced"
39133,"Rio+20",1,"Positive",0,"Balanced"
36731,"Decretonº 47745, de 1 de novembro de 2019",0,"Neutral",-1,"Balanced"
51855,"Decreto nº 4.780 de 30/08/1871",0,"Neutral",-1,"Balanced"
16350,"[ Projeto de Lei do Senado nº 155/2015 ]",1,"Positive",0,"Balanced"
106096,"Acórdão do processo Nº Ag-AIRR - 1848-35.2010.5.18.0005",1,"Positive",1,"Balanced"
131377,"Acórdão nº 202-15068 do Processo 13887.000087/00-01",0,"Neutral",2,"Prescriptive"
123404,"Acórdão PJe TRT 3ª / Segunda Turma / 2020-12-01",0,"Neutral",1,"Balanced"
112243,"RESOLUÇÃO AUTORIZATIVA nº 1817, de 02/03/2009",1,"Positive",-1,"Balanced"
51904,"Decreto nº 5.730 de 27/08/1874",-1,"Negative",0,"Balanced"
27838,"Acórdão do processo Nº AIRR - 20814-86.2014.5.04.0331",0,"Neutral",2,"Prescriptive"
115510,"Lei nº 966, de 09/04/1976",0,"Neutral",0,"Balanced"
112227,"Decreto nº 36871, de 12 de novembro de 2015",0,"Neutral",0,"Balanced"
14694,"Acórdão do processo Nº RR - 30600-17.1999.5.03.0103",0.714285714285714,"Positive",4,"Prescriptive"
115455,"Lei nº 17.451, de 09/11/2021",0,"Neutral",0,"Balanced"
50469,"Decreto nº 28.408, de 20 de Julho de 1950",0,"Neutral",-1,"Balanced"
11242,"Acórdão nº 3302-010.308 do Processo 10880.725417/2011-35",0,"Neutral",0,"Balanced"
