search_term,date_searched,url,title,urn
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1972-01-28;961,"Lei Ordinária n° 961, de 28 de Janeiro de 1972",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1972-01-28;961
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1967-06-16;252,"Lei Municipal n° 252, de 16 de Junho de 1967",urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1967-06-16;252
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto.lei:1942-04-17;4272,"Decreto-Lei nº 4.272, de 17 de Abril de 1942",urn:lex:br:federal:decreto.lei:1942-04-17;4272
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1973-12-04;73249,"Decreto nº 73.249, de 4 de Dezembro de 1973",urn:lex:br:federal:decreto:1973-12-04;73249
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1975-03-25;687,"Lei Municipal n° 687, de 25 de Março de 1975",urn:lex:br;espirito.santo;domingos.martins:municipal:lei:1975-03-25;687
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto.lei:1986-12-10;2305,"Decreto-Lei nº 2.305, de 10 de Dezembro de 1986",urn:lex:br:federal:decreto.lei:1986-12-10;2305
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;hortolandia:municipal:lei:2002-10-21;1150,"Lei n° 1150, de 21 de outubro de 2002",urn:lex:br;sao.paulo;hortolandia:municipal:lei:2002-10-21;1150
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto.lei:1941-09-09;12162,"Decreto-Lei nº 12.162, de 09/09/1941",urn:lex:br;sao.paulo:estadual:decreto.lei:1941-09-09;12162
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2017-10-20;38571,"Decreto nº 38571, de 20 de outubro de 2017",urn:lex:br;distrito.federal:distrital:decreto:2017-10-20;38571
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2010-12-08;32563,"Decreto nº 32563, de 08 de dezembro de 2010",urn:lex:br;distrito.federal:distrital:decreto:2010-12-08;32563
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-07-03;3080,"Lei n° 3080, de 03 de Julho de 2015",urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-07-03;3080
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2003-07-24;2674,"Lei n° 2674, de 24 de Julho de 2003",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2003-07-24;2674
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2012-04-09;3671,"Lei n° 3671, de 09 de Abril de 2012",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:2012-04-09;3671
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;ponte.nova:municipal:lei:1991-11-09;1683,"Lei n° 1683, de 09 de Novembro de 1991",urn:lex:br;minas.gerais;ponte.nova:municipal:lei:1991-11-09;1683
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:decreto:2006-03-28;26683,"Decreto nº 26683, de 28 de março de 2006",urn:lex:br;distrito.federal:distrital:decreto:2006-03-28;26683
